row,col,field1,field2,field3,field4,parents_data1,parents_data2,value,year
16,8,All doctorate recipients,Sex,Female,Mother's education,NA,Advanced degree,NA,2013
17,2,All doctorate recipients,Citizenship status,Female,Mother's education,NA,Total number,NA,2013
17,3,All doctorate recipients,Citizenship status,Female,Mother's education,NA,NA,NA,2013
17,4,All doctorate recipients,Citizenship status,Female,Mother's education,Parental education attainment (%),All,NA,2013
17,5,All doctorate recipients,Citizenship status,Female,Mother's education,NA,High school or less,NA,2013
17,6,All doctorate recipients,Citizenship status,Female,Mother's education,NA,Some collegea,NA,2013
17,7,All doctorate recipients,Citizenship status,Female,Mother's education,NA,Bachelor's degree,NA,2013
17,8,All doctorate recipients,Citizenship status,Female,Mother's education,NA,Advanced degree,NA,2013
18,2,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Total number,NA,2013
18,3,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,NA,NA,2013
18,4,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,Parental education attainment (%),All,NA,2013
18,5,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,High school or less,NA,2013
18,6,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Some collegea,NA,2013
18,7,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Bachelor's degree,NA,2013
18,8,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Advanced degree,NA,2013
19,2,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,NA,Total number,31586,2013
19,3,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,NA,NA,NA,2013
19,4,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,Parental education attainment (%),All,100,2013
19,5,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,NA,High school or less,21.9,2013
19,6,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,NA,Some collegea,14,2013
19,7,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,NA,Bachelor's degree,24.5,2013
19,8,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Father's education,NA,Advanced degree,39.6,2013
20,2,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Total number,31813,2013
20,3,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,NA,NA,2013
20,4,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,Parental education attainment (%),All,100,2013
20,5,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,High school or less,24.7,2013
20,6,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Some collegea,18.1,2013
20,7,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Bachelor's degree,27.3,2013
20,8,All doctorate recipients,Citizenship status,U.S. citizen or permanent resident,Mother's education,NA,Advanced degree,29.9,2013
21,2,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Total number,NA,2013
21,3,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,NA,NA,2013
21,4,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,Parental education attainment (%),All,NA,2013
21,5,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,High school or less,NA,2013
21,6,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Some collegea,NA,2013
21,7,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Bachelor's degree,NA,2013
21,8,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Advanced degree,NA,2013
22,2,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,NA,Total number,14402,2013
22,3,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,NA,NA,NA,2013
22,4,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,Parental education attainment (%),All,100,2013
22,5,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,NA,High school or less,31.3,2013
22,6,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,NA,Some collegea,11.4,2013
22,7,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,NA,Bachelor's degree,30.9,2013
22,8,All doctorate recipients,Citizenship status,Temporary visa holder,Father's education,NA,Advanced degree,26.5,2013
23,2,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Total number,14375,2013
23,3,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,NA,NA,2013
23,4,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,Parental education attainment (%),All,100,2013
23,5,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,High school or less,44.8,2013
23,6,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Some collegea,11.7,2013
23,7,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Bachelor's degree,27.8,2013
23,8,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Advanced degree,15.8,2013
24,1,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,NA,NA,2013
24,2,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Total number,NA,2013
24,3,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,NA,NA,2013
24,4,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,Parental education attainment (%),All,NA,2013
24,5,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,High school or less,NA,2013
24,6,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Some collegea,NA,2013
24,7,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Bachelor's degree,NA,2013
24,8,All doctorate recipients,Citizenship status,Temporary visa holder,Mother's education,NA,Advanced degree,NA,2013
25,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Temporary visa holder,Mother's education,NA,Total number,NA,2013
25,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Temporary visa holder,Mother's education,NA,NA,NA,2013
25,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Temporary visa holder,Mother's education,Parental education attainment (%),All,NA,2013
25,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Temporary visa holder,Mother's education,NA,High school or less,NA,2013
25,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Temporary visa holder,Mother's education,NA,Some collegea,NA,2013
25,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Temporary visa holder,Mother's education,NA,Bachelor's degree,NA,2013
25,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Temporary visa holder,Mother's education,NA,Advanced degree,NA,2013
26,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Total number,NA,2013
26,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,NA,NA,2013
26,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,Parental education attainment (%),All,NA,2013
26,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,High school or less,NA,2013
26,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Some collegea,NA,2013
26,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Bachelor's degree,NA,2013
26,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Advanced degree,NA,2013
27,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Father's education,NA,Total number,1956,2013
27,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Father's education,NA,NA,NA,2013
27,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Father's education,Parental education attainment (%),All,100,2013
27,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Father's education,NA,High school or less,35.4,2013
27,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Father's education,NA,Some collegea,15,2013
27,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Father's education,NA,Bachelor's degree,19.4,2013
27,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Father's education,NA,Advanced degree,30.2,2013
28,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Total number,1986,2013
28,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,NA,NA,2013
28,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,Parental education attainment (%),All,100,2013
28,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,High school or less,40.2,2013
28,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Some collegea,18.1,2013
28,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Bachelor's degree,20.4,2013
28,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Hispanic or Latino,Mother's education,NA,Advanced degree,21.2,2013
29,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Mother's education,NA,Total number,NA,2013
29,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Mother's education,NA,NA,NA,2013
29,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Mother's education,Parental education attainment (%),All,NA,2013
29,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Mother's education,NA,High school or less,NA,2013
29,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Mother's education,NA,Some collegea,NA,2013
29,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Mother's education,NA,Bachelor's degree,NA,2013
29,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Mother's education,NA,Advanced degree,NA,2013
30,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Total number,NA,2013
30,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,NA,NA,2013
30,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,Parental education attainment (%),All,NA,2013
30,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,High school or less,NA,2013
30,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Some collegea,NA,2013
30,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Bachelor's degree,NA,2013
30,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Advanced degree,NA,2013
31,1,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,NA,NA,2013
31,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Total number,105,2013
31,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,NA,NA,2013
31,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,Parental education attainment (%),All,100,2013
31,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,High school or less,39,2013
31,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Some collegea,21,2013
31,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Bachelor's degree,24.8,2013
31,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Advanced degree,15.2,2013
32,1,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,NA,NA,2013
32,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Total number,108,2013
32,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,NA,NA,2013
32,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,Parental education attainment (%),All,100,2013
32,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,High school or less,38.9,2013
32,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Some collegea,27.8,2013
32,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Bachelor's degree,17.6,2013
32,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,American Indian or Alaska Native,NA,Advanced degree,15.7,2013
33,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,Total number,NA,2013
33,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,NA,NA,2013
33,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,Parental education attainment (%),All,NA,2013
33,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,High school or less,NA,2013
33,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,Some collegea,NA,2013
33,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,Bachelor's degree,NA,2013
33,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,Advanced degree,NA,2013
34,1,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,NA,NA,2013
34,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,Total number,2751,2013
34,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,NA,NA,2013
34,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,Parental education attainment (%),All,100,2013
34,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,High school or less,20,2013
34,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,Some collegea,10.4,2013
34,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,Bachelor's degree,24.8,2013
34,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,Advanced degree,44.7,2013
35,1,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,NA,NA,2013
35,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,Total number,2753,2013
35,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,NA,NA,2013
35,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,Parental education attainment (%),All,100,2013
35,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,High school or less,30.6,2013
35,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,Some collegea,11.7,2013
35,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,Bachelor's degree,30.5,2013
35,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Asian,NA,Advanced degree,27.2,2013
36,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,Total number,NA,2013
36,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,NA,NA,2013
36,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,Parental education attainment (%),All,NA,2013
36,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,High school or less,NA,2013
36,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,Some collegea,NA,2013
36,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,Bachelor's degree,NA,2013
36,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,Advanced degree,NA,2013
37,1,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,NA,NA,2013
37,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,Total number,1928,2013
37,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,NA,NA,2013
37,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,Parental education attainment (%),All,100,2013
37,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,High school or less,42.9,2013
37,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,Some collegea,19.1,2013
37,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,Bachelor's degree,16.1,2013
37,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,Advanced degree,21.8,2013
38,1,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,NA,NA,2013
38,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,Total number,2005,2013
38,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,NA,NA,2013
38,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,Parental education attainment (%),All,100,2013
38,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,High school or less,38.4,2013
38,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,Some collegea,22.4,2013
38,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,Bachelor's degree,16.6,2013
38,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,Black or African American,NA,Advanced degree,22.6,2013
39,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,Total number,NA,2013
39,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,NA,NA,2013
39,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,Parental education attainment (%),All,NA,2013
39,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,High school or less,NA,2013
39,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,Some collegea,NA,2013
39,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,Bachelor's degree,NA,2013
39,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,Advanced degree,NA,2013
40,1,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,NA,NA,2013
40,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,Total number,23642,2013
40,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,NA,NA,2013
40,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,Parental education attainment (%),All,100,2013
40,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,High school or less,19.4,2013
40,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,Some collegea,13.8,2013
40,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,Bachelor's degree,25.7,2013
40,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,Advanced degree,41.1,2013
41,1,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,NA,NA,2013
41,2,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,Total number,23739,2013
41,3,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,NA,NA,2013
41,4,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,Parental education attainment (%),All,100,2013
41,5,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,High school or less,21.7,2013
41,6,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,Some collegea,18.4,2013
41,7,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,Bachelor's degree,28.5,2013
41,8,All doctorate recipients,"Ethnicity and race (U.S. citizens and
  permanent residents)",Not Hispanic or Latino,White,NA,Advanced degree,31.4,2013
